นม,นครราชสีมา
ชม,เชียงใหม่
กจ,กาญจนบุรี
ตก,ตาก
อบ,อุบลราชธานี
สฎ,สุราษฎร์ธานี
ชย,ชัยภูมิ
มส,แม่ฮ่องสอน
พช,เพชรบูรณ์
ลป,ลำปาง
อด,อุดรธานี
ชร,เชียงราย
นน,น่าน
ลย,เลย
ขก,ขอนแก่น
พล,พิษณุโลก
บร,บุรีรัมย์
นศ,นครศรีธรรมราช
สน,สกลนคร
นว,นครสวรรค์
ศก,ศรีสะเกษ
กพ,กำแพงเพชร
รอ,ร้อยเอ็ด
สร,สุรินทร์
อต,อุตรดิตถ์
สข,สงขลา
สก,สระแก้ว
กส,กาฬสินธุ์
อน,อุทัยธานี
สท,สุโขทัย
พร,แพร่
ปข,ประจวบคีรีขันธ์
จบ,จันทบุรี
พย,พะเยา
พบ,เพชรบุรี
ลบ,ลพบุรี
ชพ,ชุมพร
นพ,นครพนม
สพ,สุพรรณบุรี
ฉช,ฉะเชิงเทรา
มค,มหาสารคาม
รบ,ราชบุรี
ตง,ตรัง
ปจ,ปราจีนบุรี
กบ,กระบี่
ชบ,ชลบุรี
พจ,พิจิตร
ยล,ยะลา
ลพ,ลำพูน
นธ,นราธิวาส
มห,มุกดาหาร
บก,บึงกาฬ
พง,พังงา
ยส,ยโสธร
นภ,หนองบัวลำภู
สบ,สระบุรี
รย,ระยอง
พท,พัทลุง
รน,ระนอง
อจ,อำนาจเจริญ
นค,หนองคาย
ตร,ตราด
อย,พระนครศรีอยุธยา
สต,สตูล
ชน,ชัยนาท
นฐ,นครปฐม
นย,นครนายก
ปน,ปัตตานี
กทม,กรุงเทพมหานคร
ปท,ปทุมธานี
สป,สมุทรปราการ
อท,อ่างทอง
สค,สมุทรสาคร
สห,สิงห์บุรี
นบ,นนทบุรี
ภก,ภูเก็ต
สส,สมุทรสงคราม
